Temperature,Leipzig,Leipzig_errorbar,Limassol,Limassol_errorbar,Punta-Arenas,Punta-Arenas_errorbar,Leipzig_lidar,Leipzig_lidar_errorbar,Limassol_lidar,Limassol_lidar_errorbar,Punta-Arenas_lidar,Punta-Arenas_lidar_errorbar
-37.5,,0.0,,0.0,0.6280597014925373,0.09229618630166093,,0.0,,0.0,0.5922388059701492,0.09229618630166093
-32.5,0.9498997995991983,0.07978559231302819,1.0,0.0,0.5311579424427827,0.059286088431625354,0.9498997995991983,0.07978559231302819,1.0,0.0,0.5311579424427827,0.059286088431625354
-27.5,0.9405113077679449,0.06499230723708768,0.9805645534474781,0.036344694923159886,0.5248710949347892,0.04990991885387112,0.9405113077679449,0.06499230723708768,0.9805645534474781,0.036344694923159886,0.44752805580831057,0.04990991885387112
-22.5,1.0,0.0,0.9400090211998195,0.04867036741923191,0.5157142857142857,0.051844587333152004,0.8567587386946957,0.0,0.9124943617501128,0.04867036741923191,0.21714285714285714,0.051844587333152004
-17.5,0.9917241379310345,0.01801577070206772,0.9319502074688797,0.04873397172404484,0.5908300395256917,0.05152434938459199,0.7589655172413793,0.01801577070206772,0.6489626556016598,0.04873397172404484,0.22023715415019762,0.05152434938459199
-13.5,0.9857793731879055,0.025699580240322643,0.9009836065573771,0.07984359711335656,0.6726980297547246,0.05761302746414258,0.5035206406185282,0.025699580240322643,0.14491803278688525,0.07984359711335656,0.08323281061519903,0.05761302746414258
-10.75,0.87078335077691,0.038646007330216364,0.7075559701492538,0.0855816496101822,0.43201754385964913,0.04904204712860897,0.0317204733918364,0.038646007330216364,0.058768656716417914,0.0855816496101822,0.006871345029239766,0.04904204712860897
-8.25,0.7881604990103761,0.03939177921554382,0.5848968105065666,0.08821554523934542,0.48214912794100434,0.0441829491885296,0.012535236610088166,0.03939177921554382,0.0,0.08821554523934542,0.03851106168793164,0.0441829491885296
-5.75,0.6416432490298407,0.036138543515090805,0.5567858272698513,0.07606348725472867,0.47682461697588724,0.03473252609343265,0.023216914224541682,0.036138543515090805,0.09237583043340715,0.07606348725472867,0.021979442756480703,0.03473252609343265
-3.25,0.23834252948176998,0.027087827821606507,0.2962430712379388,0.05764678037238103,0.1983915760240685,0.027581629410239894,0.008402755238198277,0.027087827821606507,0.01827140217614453,0.05764678037238103,0.005496412867391808,0.027581629410239894
-0.75,0.03069960399773713,0.010555403342697655,0.048260096520193044,0.029080373606172646,0.10134512622074811,0.024368101769939195,0.0,0.010555403342697655,0.0,0.029080373606172646,0.0,0.024368101769939195
